id,naziv_stanice,zona_naziv,broj_linija,linije,tipovi_prijevoza,tramvajskih_linija,autobusnih_linija
1,"Trg bana Jelačića","Centar - Grad",5,"1, 2, 301, 4, 6","Tramvajska, Uspinjača",4,0
3,Črnomerec,Črnomerec,5,"1, 109, 11, 2, 6","Tramvajska, Autobusna",4,1
16,"Britanski trg","Donji Grad",3,"101, 102, 301","Autobusna, Uspinjača",0,2
6,Dubec,Sesvete,2,"11, 4",Tramvajska,2,0
14,Žitnjak,Žitnjak,2,"13, 401","Tramvajska, Žičara",1,0
2,"Glavni kolodvor","Centar - Grad",1,268,Autobusna,0,1
4,Borongaj,"Prigradsko naselje Jug",1,1,Tramvajska,1,0
5,Ljubljanica,"Trešnjevka Sjever",1,12,Tramvajska,1,0
7,Savišće,Žitnjak,1,2,Tramvajska,1,0
8,"Savski most","Novi Zagreb - Zapad",1,4,Tramvajska,1,0
